Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value,data_entry_by,upload_ts,notes,ref_date
Mozambique,MOZ,2022,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,2026-04-02 02:44:51.524768,,01/01/2022
Mozambique,MOZ,2012,"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,2281691916.59235,,2026-04-02 02:44:51.524768,,2012-01-01
Mozambique,moz,1960,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,0.0029789854250104,admin,2026-04-02 02:44:51.524768,,1960-01-01
Mozambique,MOZ,1976,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.8,bot,2026-04-02 02:44:51.524768,,01/01/1976
Mozambique,MOZ,2022,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,4.61177955777725,,2026-04-02 02:44:51.524768,,2022-01-01
Mozambique,MOZ,2008,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,114972299.810835,bot,2026-04-02 02:44:51.524768,,2008-01-01
Mozambique,MOZ,2004,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,3176783274.12058,USER_9,2026-04-02 02:44:51.524768,,Jan 2004
Mozambique,MOZ,2017,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,104772840.037681,admin,2026-04-02 02:44:51.524768,,01/01/2017
Mozambique,MOZ,2008,"Industry (including construction), value added (constant LCU)",NV.IND.TOTL.KN,,USER_6,2026-04-02 02:44:51.524768,,Jan 2008
Mozambique,MOZ,2006,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,59125050.6942638,bot,2026-04-02 02:44:51.524768,,2006-01-01
Mozambique,MOZ,1996,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,7.12551466304502,,2026-04-02 02:44:51.524768,,1996-01-01
Mozambique,MOZ,2006,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,450.0,USER_7,2026-04-02 02:44:51.524768,,2006
Mozambique,MOZ,2017,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,2.10116255424464,admin,2026-04-02 02:44:51.524768,,2017
Mozambique,MOZ,2024,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,1396.62328740719,bot,2026-04-02 02:44:51.524768,,2024
Mozambique,MOZ,2017,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,5577865165.65053,admin,2026-04-02 02:44:51.524768,,01/01/2017
mozambique,MOZ,1967DI,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,120000.0,,2026-04-02 02:44:51.524768,,Jan 1967
Mozambique,MOZ,1985,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,176.854086200431,admin,2026-04-02 02:44:51.524768,,1985-01-01
Mozambique,MOZ,1979,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,13.0476458424916,admin,2026-04-02 02:44:51.524768,,1979
Mozambique,MOZ,2014,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.37455616211426,,2026-04-02 02:44:51.524768,,2014
  Mozambique  ,MOZ,2010,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,1.21063137057529,bot,2026-04-02 02:44:51.524768,,2010-01-01
Mozambique,MOZ,1994,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,35000000.0,,2026-04-02 02:44:51.524768,,01/01/1994
